osm_id,name,highway,waterway,aerialway,barrier,man_made,other_tags,20mph,Order,Area,Year,LENGTH_GEO,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,PART_COUNT,PNT_COUNT,BEARING,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
9053229,Plantation Square,residential,,,,,,YES,S1,Festival Park,2011,136.26592468700,257082.20339899999,664799.85770000005,257017.26217500001,664799.33585599996,257013.61843700000,664731.31049299997,257031.84366700001,664783.27612399997,257015.61840000001,664768.69783199998,1.00000000000,5.00000000000,225.01577498500,257013.61843700000,664731.31049299997,257082.20339899999,664802.63031899999
9053230,Plantation Square,footway,,,,,,YES,S1,Festival Park,2011,74.72552110210,257013.61843700000,664731.31049299997,257050.87718300000,664728.59971900005,257079.36824000001,664736.15668699995,257047.12111000001,664732.98254400003,257046.17767400001,664728.93847299996,1.00000000000,5.00000000000,85.78454651910,257013.61843700000,664728.55774800002,257079.36824000001,664738.07758799999
9783838,Tormore Street,residential,,,,,"""oneway""=>""yes""",YES,S1,Meiklewood,2011,13.53224416820,253527.73408100000,664988.93304999999,253523.49413199999,664983.66135099996,253520.30286000000,664977.77933199995,253523.65049000000,664983.57009199995,253523.54987700001,664983.73103699996,1.00000000000,4.00000000000,213.67373592800,253520.30286000000,664977.77933199995,253527.73408100000,664988.93304999999
9783839,Daviot Street,residential,,,,,"""oneway""=>""yes""",YES,S1,Meiklewood,2011,14.28981679870,253531.50054800001,664968.60174199997,253524.51773399999,664970.10627100000,253517.40091000000,664969.95853900001,253524.48567100000,664969.76762099995,253524.51590599999,664970.10645900003,1.00000000000,4.00000000000,275.49660020800,253517.40091000000,664968.60174199997,253531.50054800001,664970.34089700005
12083241,Claythorn Avenue,residential,,,,,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""20 mph""",YES,NE1,Calton,2011,277.27045367100,260195.74125600001,664554.24923299998,260087.03353799999,664548.89209199999,260135.85155799999,664454.10165600001,260111.96576600001,664530.80780399998,260082.84215899999,664535.53499099996,1.00000000000,14.00000000000,210.88003380000,260070.50892399999,664454.10165600001,260195.74125600001,664585.10484199994
12083242,Claythorn Park,residential,,,,,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""20 mph""",YES,NE1,Calton,2011,178.50996681100,260125.03206000000,664433.13494999998,260171.45041900000,664507.22358300001,260211.84517300001,664586.79499199998,260170.22411200000,664508.22810499999,260171.93387099999,664508.15951699996,1.00000000000,8.00000000000,29.46508858690,260125.03206000000,664433.13494999998,260211.84517300001,664586.79499199998
12083246,Moncur Street,residential,,,,,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""20 mph""",YES,NE1,Calton,2011,128.38321107500,260211.84517300001,664586.79499199998,260271.45420599999,664563.00395399996,260328.29876599999,664533.33376199997,260270.86885200001,664561.75909199996,260271.27392599999,664563.07590699999,1.00000000000,3.00000000000,114.65879287500,260211.84517300001,664533.33376199997,260328.29876599999,664586.79499199998
12083247,Chalmers Street,residential,,,,,,YES,NE1,Calton,2011,139.96250381400,260289.37285700001,664626.59141100000,260310.40584200001,664686.47710999998,260374.66354600000,664660.84883100004,260320.28559300001,664667.09234800003,260340.26546400000,664675.75522000005,1.00000000000,10.00000000000,68.11689881700,260289.37285700001,664626.59141100000,260374.66354600000,664686.85615300003
12083250,Elcho Street,service,,,,,,YES,NE1,Calton,2011,79.22288820480,260405.03596000001,664575.63012600003,260420.33019300000,664612.16301200003,260435.63031099999,664648.69343400002,260420.33162800001,664612.16241100000,260420.33019300000,664612.16301200003,1.00000000000,3.00000000000,22.72089151870,260405.03596000001,664575.63012600003,260435.63031099999,664648.69343400002
13859450,Balbeg Street,residential,,,,,,YES,S1,Meiklewood,2011,233.70159874500,254029.86416999999,664929.45443299995,254001.24573500000,664816.18189000001,253972.37979499999,664702.96917099995,254001.24033700000,664816.18319500005,254001.24534200001,664816.18034900003,1.00000000000,3.00000000000,194.24155015200,253972.37979499999,664702.96917099995,254029.86416999999,664929.45443299995
